IncidentId,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus
24360426,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,,DIXIE,HWY,,,,,,,,38.15876528,-85.83341382,12.637,12/9/2018,2046,2,1,1,0,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,43445.38533,FALSE,7628,Accepted
24340375,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0150,,BROADWAY,,W,,ROY WILKINS,,,,,38.24678996,-85.76652102,1.954,12/4/2018,0845,2,1,0,1,CLOUDY,DRY,TRUE,NON-COLLISION OBJECT COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,43440.38511,FALSE,7987,Accepted
24326930,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0841,,GENE SNYDER,FWY,,,,,,,,38.11920009,-85.78344397,5.698,12/1/2018,0847,5,3,1,1,RAINING,WATER (STANDING OR MOVING),FALSE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),ANGLE,CURVE & LEVEL,DAYLIGHT,,,43437.5497,TRUE,7944,Accepted
24300092,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0155,12302,TAYLORSVILLE,RD,,,,,,,,38.18655842,-85.52955455,7.2,11/24/2018,2248,2,1,1,0,CLOUDY,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & HILLCREST,DARK-HWY NOT LIGHTED,,,43431.35348,FALSE,7786,Accepted
24259553,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1020,,SOUTHERN,PKWY,,,ASHLAND,,,,,38.18525208,-85.76745485,8.075,11/16/2018,0545,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK (UNKNOWN ROADWAY LIGHTING),,,43420.41219,FALSE,5123,Accepted
24230978,0561000,JEFFERSONTOWN POLICE DEPT,Accepted,JEFFERSON,KY0155,,TAYLORSVILLE,RD,,,DEERCROSS,,,,,38.2174897,-85.59494592,11.644,11/8/2018,2008,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/OFF,,,43412.95185,FALSE,8305,Accepted
24242365,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,BROADWAY,,W,,31ST,,,,,38.24972968,-85.80323705,0.818,10/31/2018,0642,3,1,0,2,CLOUDY,DRY,TRUE,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,43416.46068,FALSE,6886,Accepted
24184161,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,,DIXIE,HWY,,,,,,,,38.1297687,-85.84819698,10.467,10/30/2018,2128,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,43404.40059,FALSE,5136,Accepted
24175781,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,5329,HAMES,TRCE,,,,,,,,38.1644673,-85.60533592,0.36,10/28/2018,2035,3,1,0,1,CLOUDY,DRY,FALSE,COLLISION IN PARKING LOT,SINGLE VEHICLE,CURVE & GRADE,DARK-HWY LIGHTED/ON,,,43402.53055,FALSE,5141,Accepted
24184195,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,PARK,RD,S,KY0061,PRESTON,,,,,38.11818795,-85.67727435,0.008,10/24/2018,2200,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,43404.4051,FALSE,5042,Accepted
24152071,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1020,,3RD,ST,S,,CARDINAL,,,,,38.22058615,-85.76122463,10.32,10/13/2018,1535,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,43396.37816,FALSE,5163,Accepted
24118744,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0060A,,TAYLOR,BLVD,,,LONGFIELD,,,,,38.19858447,-85.78274808,1.62,10/12/2018,2215,2,1,0,1,RAINING,WATER (STANDING OR MOVING),FALSE,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,43388.44299,FALSE,7435,Accepted
24118820,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,10640,FREEPORT,DR,,,,,,,,38.13102459,-85.88381473,0.57,10/9/2018,0003,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK (UNKNOWN ROADWAY LIGHTING),,,43388.44513,FALSE,5169,Accepted
24315628,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,FURMAN,BLVD,,,ARGYLE,,,,,38.21878255,-85.64575545,0.17,10/8/2018,1339,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,,,43434.39018,FALSE,2142,Accepted
24069612,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0150,,BROADWAY,,W,,,,7TH,,6TH,38.24640707,-85.76219384,2.153,10/1/2018,1511,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,43375.61988,FALSE,2406,Accepted
24063857,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,,DIXIE,HWY,,,,,,,,38.12807308,-85.84964698,10.325,9/29/2018,2212,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/OFF,,,43374.46497,FALSE,7264,Accepted
24063834,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,3636,POWELL,AVE,,,,,,,,38.19227151,-85.79116962,0.648,9/28/2018,1738,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,43374.46452,FALSE,7249,Accepted
24052548,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,2000,NELSON MILLER,PKWY,,,,,,,,38.27064064,-85.50720388,0.947,9/27/2018,2015,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,43371.38485,FALSE,7440,Accepted
24029457,0561000,JEFFERSONTOWN POLICE DEPT,Accepted,JEFFERSON,KY1747,1335,HURSTBOURNE,PKWY,S,,,,,,,38.22519951,-85.57770209,12.043,9/22/2018,2100,2,1,0,1,RAINING,WET,FALSE,COLLISION IN PARKING LOT,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,43365.98865,FALSE,8293,Accepted
24019529,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,3440,LARKWOOD,AVE,,,,,,,,38.2580142,-85.80925969,0.805,9/16/2018,1730,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,43363.39803,FALSE,7363,Accepted
24109608,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,BROADWAY,,W,,26TH,,,,,38.2495396,-85.7949532,0.367,9/8/2018,2037,2,1,0,1,RAINING,WATER (STANDING OR MOVING),FALSE,,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,43385.38096,FALSE,7253,Accepted
24405093,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1020,,NATIONAL,TPKE,,,,,,,,38.13140485,-85.75068863,3.979,9/7/2018,2219,2,1,1,0,CLOUDY,DRY,TRUE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,43455.41487,FALSE,7072,Accepted
23852277,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1934,,CANE RUN,RD,,,ROCKFORD,,,,,38.1844061,-85.85455114,7.782,8/21/2018,1840,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,43334.41287,FALSE,7410,Accepted
24038006,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0061,,PRESTON,HWY,,,,,READING,,LINWOOD,38.21119693,-85.74040528,9.817,8/18/2018,0132,2,1,1,0,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,43368.37074,FALSE,7851,Accepted
23843098,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,GRADE,LN,,,ASHBOTTOM,,,,,38.1584321,-85.7312961,2.042,8/16/2018,0620,2,1,1,0,RAINING,WET,FALSE,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,CURVE & LEVEL,DARK-HWY LIGHTED/ON,,,43332.56008,FALSE,7772,Accepted
23822183,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY0864,,POPLAR LEVEL,RD,,,POPLAR LEVEL,,,,,38.16408979,-85.67930355,8.618,8/14/2018,1730,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,43327.40932,FALSE,2796,Accepted
23813987,0560400,SHIVELY POLICE DEPARTMENT,Accepted,JEFFERSON,KY1931,,7TH STREET,RD,,,,,NONNY LYNN,,OLEANDA,38.20570618,-85.7898037,9.301,8/12/2018,1736,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,43325.79391,FALSE,7105,Accepted
23807174,0560300,ST. MATTHEWS POLICE DEPARTMENT,Accepted,JEFFERSON,US0060,3900,SHELBYVILLE,RD,,,,,,,,38.25282477,-85.65409333,3.615,8/11/2018,0013,2,1,0,1,CLEAR,DRY,TRUE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,43324.36169,FALSE,9140,Accepted
23852301,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,,DIXIE,HWY,,,,US0031W,US31W RAMP FROM KY1934,KY1849,MOORMAN,38.08884723,-85.87790019,7.195,8/9/2018,2225,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,43334.41388,FALSE,2000,Accepted
24340374,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,,DIXIE,HWY,,,,,,,,38.14125541,-85.84060734,11.5,8/6/2018,2221,2,1,1,0,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK (UNKNOWN ROADWAY LIGHTING),,,43440.38506,FALSE,7786,Accepted
23789108,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,MCCAWLEY,RD,,,EGYPT,,,,,38.14447852,-85.68609024,0.227,8/2/2018,2105,2,1,0,2,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,43320.40269,FALSE,7354,Accepted
23789100,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,3701,DENA,DR,,,MANSLICK,,,,,38.19170566,-85.80204828,0.111,7/29/2018,2100,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT IN INTERSECTION - FIRST EVENT COLLISION 09 - 32,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,43320.40236,FALSE,7470,Accepted
23922728,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0060A,,WINKLER,AVE,,,,,RODMAN,,WINKLER,38.21088111,-85.77016457,2.75,7/27/2018,0617,2,1,1,0,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,CURVE & LEVEL,DAWN,,,43343.46026,FALSE,7720,Accepted
23692437,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,8593,DIXIE,HWY,,,,,,,,38.1289414,-85.8488544,10.399,7/14/2018,1330,2,1,0,1,CLEAR,DRY,FALSE,,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,43297.34436,FALSE,2311,Accepted
23679299,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1065,,BEULAH CHURCH,RD,,,DELIGHTFUL,,,,,38.13750376,-85.61039529,10.176,7/11/2018,2201,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,43293.41059,FALSE,7106,Accepted
23752667,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0060,,SHELBYVILLE,RD,,,,,BIRCHAM,,BECKLEY CREEK,38.23598498,-85.47721332,13.566,7/9/2018,2210,2,1,1,0,CLEAR,DRY,TRUE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,CURVE & GRADE,DARK-HWY NOT LIGHTED,,,43311.50264,FALSE,7840,Accepted
23663300,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1747,,HURSTBOURNE,PKWY,S,KY0155,TAYLORSVILLE,,,,,38.2156623,-85.5910926,11.036,7/6/2018,0800,2,1,0,1,CLEAR,DRY,FALSE,,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,43290.37642,FALSE,7366,Accepted
23652022,0560400,SHIVELY POLICE DEPARTMENT,Accepted,JEFFERSON,US0031W,4008,DIXIE,HWY,,,,,,,,38.19189481,-85.8081413,15.327,7/3/2018,2041,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DUSK,,,43287.07875,FALSE,7114,Accepted
23636997,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,ORMSBY,AVE,W,US0031W,22ND,,,,,38.23563392,-85.79021081,1.716,6/29/2018,2147,2,1,0,1,CLEAR,DRY,TRUE,OTHER INTERSECTION COLLISIONS,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,43283.57715,FALSE,7837,Accepted
23611222,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,HIKES,LN,,KY1932,BRECKENRIDGE,,,,,38.21818288,-85.62857693,3.027,6/25/2018,1327,2,1,0,1,RAINING,WET,FALSE,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,43277.41811,FALSE,7441,Accepted
24037995,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,,DIXIE,HWY,,,,,LOWER HUNTERS,,KERRICK,38.15578309,-85.83462505,12.418,6/22/2018,2242,2,1,1,0,CLOUDY,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,43368.37045,FALSE,7851,Accepted
23562792,0560400,SHIVELY POLICE DEPARTMENT,Accepted,JEFFERSON,KY2051,2625,ROCKFORD,LN,,,,,DOVER,,KOPPEL,38.17814048,-85.8477091,1.384,6/13/2018,1939,2,1,0,1,CLEAR,DRY,FALSE,COLLISION IN PARKING LOT,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,43265.43241,FALSE,7122,Accepted
23558665,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1447,,WESTPORT,RD,,KY1747,HURSTBOURNE,,,,,38.28762975,-85.57224338,5.244,6/8/2018,1035,2,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,43264.58086,FALSE,7888,Accepted
23636976,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,GOLDSMITH,LN,,,,,RIO RITA,,DELL BROOKE,38.20848,-85.6527037,0.264,6/5/2018,1840,2,1,1,0,CLEAR,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,43283.57663,FALSE,7227,Accepted
23474831,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,8212,FENWICK FARM,PL,,,,,,,,38.2001888,-85.6055595,,5/25/2018,0024,3,2,0,1,CLEAR,DRY,FALSE,,BACKING,STRAIGHT & GRADE,OTHER,,,43245.37746,FALSE,7366,Accepted
23450093,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,,DIXIE,HWY,,,,,PONDER,,KENDALL,38.1156597,-85.8604717,9.286,5/19/2018,2135,2,1,1,0,CLEAR,DRY,FALSE,,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,43241.38045,FALSE,7851,Accepted
23439616,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,700,LAMPTON,ST,,,,,,,,38.241593,-85.742221,0.321,5/17/2018,1323,2,1,0,1,CLEAR,DRY,FALSE,,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,43238.37718,FALSE,5112,Accepted
23418744,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,4211,3RD,ST,S,,,,,,,38.1939817,-85.7649466,0.457,5/13/2018,1956,2,1,0,2,CLEAR,DRY,FALSE,,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,43234.39763,FALSE,7352,Accepted
23418630,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,12810,DIXIE,HWY,,,,,,,,38.0681864,-85.8850875,5.706,5/12/2018,2228,2,1,0,1,CLEAR,DRY,FALSE,,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/OFF,,,43234.38665,FALSE,7264,Accepted
23418619,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1931,,GREENWOOD,RD,,,,,COLUMBINE,,DAFFODIL,38.1443773,-85.8601318,2.025,5/12/2018,1849,2,1,0,1,CLEAR,DRY,FALSE,,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,43234.38655,FALSE,7123,Accepted
23749384,0560400,SHIVELY POLICE DEPARTMENT,Accepted,JEFFERSON,KY1931,,7TH ST,RD,,,,,PHYLLIS,,WATHEN,38.21118983,-85.78589716,9.732,5/4/2018,1017,6,5,1,2,CLEAR,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,43310.58747,FALSE,7109,Accepted
23359080,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,LONGFIELD,AVE,,,,,,,,38.1986315,-85.775284,0.371,4/28/2018,2310,2,1,0,1,CLEAR,DRY,FALSE,,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,43220.4085,FALSE,2745,Accepted
23349038,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,VILLAGE WEST,DR,,,,,MAGAZINE,,ESQUIRE,38.247799,-85.7667954,0.251,4/26/2018,2207,3,2,0,1,CLEAR,DRY,TRUE,,BACKING,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,43217.3556,FALSE,7823,Accepted
23578416,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,,DIXIE,HWY,,,,,,,,38.0660749,-85.885168,5.563,4/21/2018,0035,2,1,1,0,CLOUDY,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,CURVE & LEVEL,DARK-HWY NOT LIGHTED,,,43269.48826,FALSE,7072,Accepted
23261213,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY2055,,MANSLICK,RD,W,,,,,,,38.1091171,-85.7635913,1.724,4/10/2018,1635,2,1,0,1,CLOUDY,DRY,FALSE,,SINGLE VEHICLE,CURVE & HILLCREST,DAYLIGHT,,,43202.36549,FALSE,6813,Accepted
23254849,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,BRECKINRIDGE,ST,W,,4TH,,,,,38.2418909,-85.7591128,0.273,4/10/2018,2145,2,1,0,1,CLEAR,DRY,FALSE,,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,43201.35537,FALSE,7257,Accepted
